"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1523","should allow me to un-mark items as complete","chromium","2026-07-08","passed","2026-07-08","Item","demo-todo-app.spec.ts","",""
"","3815","Download the file with event listener","chromium","2026-07-08","passed","2026-07-08","","Download.spec.ts","",""
"","31508","saucelabs login","chromium","2026-06-16","broken","2026-06-16","","Interviewquesytion.spec.ts","",""
"","6761","Load Url","chromium","2026-07-08","passed","2026-07-08","Run smoke tests","TestDecsribe.spec.ts","",""
"","1322","should persist its data","chromium","2026-07-08","passed","2026-07-08","Persistence","demo-todo-app.spec.ts","",""
"","1386","should trim entered text","chromium","2026-07-08","passed","2026-07-08","Editing","demo-todo-app.spec.ts","",""
"","1515","should allow me to add todo items","chromium","2026-07-08","passed","2026-07-08","New Todo","demo-todo-app.spec.ts","",""
"","1337","should highlight the currently applied filter","chromium","2026-07-08","passed","2026-07-08","Routing","demo-todo-app.spec.ts","",""
"","15377","Read Value from JSON file Login with valid credentials","chromium","2026-06-29","passed","2026-06-29","","Day10\Readfromjson.spec.ts","",""
"","13836","Read Value from JSON file undefined","chromium","2026-06-29","passed","2026-06-29","","Readfromjson.spec.ts","",""
"","1198","should clear text input field when an item is added","chromium","2026-07-08","passed","2026-07-08","New Todo","demo-todo-app.spec.ts","",""
"","1349","should remove the item if an empty text string was entered","chromium","2026-07-08","passed","2026-07-08","Editing","demo-todo-app.spec.ts","",""
"","15090","Read Value from JSON file Login with valid credentials","chromium","2026-06-29","passed","2026-06-29","","Readfromjson.spec.ts","",""
"","6998","Load Url","chromium","2026-06-18","passed","2026-06-18","Run smoke tests","Day13\TestDecsribe.spec.ts","",""
"","5204","Skipped Test","chromium","2026-06-18","passed","2026-06-18","Run smoke tests","Day13\TestDecsribe.spec.ts","",""
"","2756","Verify disabled input field","chromium","2026-07-02","passed","2026-07-02","","Assertions.spec.ts","",""
"","4871","count elements","chromium","2026-06-21","passed","2026-06-21","","interviewTesting.spec.ts","",""
"","3398","Expected to Fail Test","chromium","2026-06-18","passed","2026-06-18","Run smoke tests","Day13\TestDecsribe.spec.ts","",""
"","1406","should allow me to edit an item","chromium","2026-07-08","passed","2026-07-08","Item","demo-todo-app.spec.ts","",""
"","1339","should be hidden when there are no items that are completed","chromium","2026-07-08","passed","2026-07-08","Clear completed button","demo-todo-app.spec.ts","",""
"","4312","get started link","chromium","2026-06-29","passed","2026-06-29","","example.spec.ts","",""
"","1360","should allow me to display all items","chromium","2026-07-08","passed","2026-07-08","Routing","demo-todo-app.spec.ts","",""
"","14042","Read Value from JSON file undefined","chromium","2026-06-29","passed","2026-06-29","","Day10\Readfromjson.spec.ts","",""
"","1267","should display the correct text","chromium","2026-07-08","passed","2026-07-08","Clear completed button","demo-todo-app.spec.ts","",""
"","1350","should allow me to display active items","chromium","2026-07-08","passed","2026-07-08","Routing","demo-todo-app.spec.ts","",""
"","1343","should cancel edits on escape","chromium","2026-07-08","passed","2026-07-08","Editing","demo-todo-app.spec.ts","",""
"","5730","alert handling","chromium","2026-06-29","passed","2026-06-29","","interviewTesting.spec.ts","",""
"","1280","should allow me to mark items as complete","chromium","2026-07-08","passed","2026-07-08","Item","demo-todo-app.spec.ts","",""
"","1391","should display the current number of todo items","chromium","2026-07-08","passed","2026-07-08","Counter","demo-todo-app.spec.ts","",""
"","3786","has title","chromium","2026-06-29","passed","2026-06-29","","example.spec.ts","",""
"","1595","should respect the back button","chromium","2026-07-08","passed","2026-07-08","Routing","demo-todo-app.spec.ts","",""
"","1527","complete all checkbox should update state when items are completed / cleared","chromium","2026-07-08","passed","2026-07-08","Mark all as completed","demo-todo-app.spec.ts","",""
"","1378","should allow me to display completed items","chromium","2026-07-08","passed","2026-07-08","Routing","demo-todo-app.spec.ts","",""
"","4013","Expected to Fail Test","chromium","2026-07-08","passed","2026-07-08","Run smoke tests","TestDecsribe.spec.ts","",""
"","1480","should allow me to clear the complete state of all items","chromium","2026-07-08","passed","2026-07-08","Mark all as completed","demo-todo-app.spec.ts","",""
"","1386","should save edits on blur","chromium","2026-07-08","passed","2026-07-08","Editing","demo-todo-app.spec.ts","",""
"","1302","should hide other controls when editing","chromium","2026-07-08","passed","2026-07-08","Editing","demo-todo-app.spec.ts","",""
"","10773","Storage State example","chromium","2026-06-18","passed","2026-06-18","","Storagestate.spec.ts","",""
"","1397","should append new items to the bottom of the list","chromium","2026-07-08","passed","2026-07-08","New Todo","demo-todo-app.spec.ts","",""
"","1318","should allow me to mark all items as completed","chromium","2026-07-08","passed","2026-07-08","Mark all as completed","demo-todo-app.spec.ts","",""
"","7650","dropdown handling","chromium","2026-06-29","passed","2026-06-29","","interviewTesting.spec.ts","",""
"","5446","Skipped Test","chromium","2026-07-08","passed","2026-07-08","Run smoke tests","TestDecsribe.spec.ts","",""
"","1458","should remove completed items when clicked","chromium","2026-07-08","passed","2026-07-08","Clear completed button","demo-todo-app.spec.ts","",""
